07:28:15 [SocketManager] Server started at port [55980]
07:28:17 [Connection] connect() failed with error: 10061
07:28:19 [Connection] connect() failed with error: 10061
07:28:33 [Connection] connect() failed with error: 10061
08:02:43 [Connection] connect() failed with error: 10061
08:02:53 [Connection] connect() failed with error: 10061
08:03:03 [Connection] connect() failed with error: 10061
08:03:13 [Connection] connect() failed with error: 10061
08:03:23 [Connection] connect() failed with error: 10061
08:03:33 [Connection] connect() failed with error: 10061
08:03:43 [Connection] connect() failed with error: 10061
08:03:53 [Connection] connect() failed with error: 10061
08:04:03 [Connection] connect() failed with error: 10061
08:04:13 [Connection] connect() failed with error: 10061
08:04:23 [Connection] connect() failed with error: 10061
08:04:33 [Connection] connect() failed with error: 10061
08:04:43 [Connection] connect() failed with error: 10061
08:04:53 [Connection] connect() failed with error: 10061
08:05:03 [Connection] connect() failed with error: 10061
08:05:13 [Connection] connect() failed with error: 10061
08:05:23 [Connection] connect() failed with error: 10061
08:05:33 [Connection] connect() failed with error: 10061
08:05:43 [Connection] connect() failed with error: 10061
08:05:53 [Connection] connect() failed with error: 10061
08:06:03 [Connection] connect() failed with error: 10061
08:06:13 [Connection] connect() failed with error: 10061
08:06:23 [Connection] connect() failed with error: 10061
08:06:34 [Connection] connect() failed with error: 10061
08:06:44 [Connection] connect() failed with error: 10061
08:06:53 [Connection] connect() failed with error: 10061
08:07:04 [Connection] connect() failed with error: 10061
08:07:14 [Connection] connect() failed with error: 10061
08:07:24 [Connection] connect() failed with error: 10061
08:07:34 [Connection] connect() failed with error: 10061
08:07:44 [Connection] connect() failed with error: 10061
08:07:54 [Connection] connect() failed with error: 10061
08:08:04 [Connection] connect() failed with error: 10061
08:08:14 [Connection] connect() failed with error: 10061
08:08:24 [Connection] connect() failed with error: 10061
08:08:34 [Connection] connect() failed with error: 10061
08:08:44 [Connection] connect() failed with error: 10061
08:08:54 [Connection] connect() failed with error: 10061
08:09:04 [Connection] connect() failed with error: 10061
08:09:14 [Connection] connect() failed with error: 10061
08:09:24 [Connection] connect() failed with error: 10061
08:09:34 [Connection] connect() failed with error: 10061
08:09:44 [Connection] connect() failed with error: 10061
08:09:46 [Connection] connect() failed with error: 10061
