//|================================================================|
//| CashShop Editor - Season 18     [GM]KING                       |
//|================================================================|
//Cat	ID	Main	Item	Coin	Gift	Price	Bonus	PBase1	PBase2	PBase3	PBase4	PBase5	PBase6	PBase7	PBase8	PBase9	PBase10	PMain1	PMain2	PMain3	PMain4	PMain5	PMain6	PMain7	PMain8	PMain9	PMain10	Comment
31	100	100	1	508	100	0	0	1000	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	// Talisman of Chaos Assembly
31	101	101	1	508	100	0	0	1010	0	0	0	0	0	0	0	0	0	1010	0	0	0	0	0	0	0	0	0	// Magic Backpack
31	102	102	1	508	500	0	0	1020	0	0	0	0	0	0	0	0	0	1020	0	0	0	0	0	0	0	0	0	// Vault Expansion Certificate
31	126	126	1	508	50	0	0	1260	0	0	0	0	0	0	0	0	0	1260	0	0	0	0	0	0	0	0	0	// Talisman of Luck
31	180	180	1	508	20	0	0	1800	0	0	0	0	0	0	0	0	0	1800	0	0	0	0	0	0	0	0	0	// Jewel of Bless
31	181	181	1	508	5	0	0	1810	0	0	0	0	0	0	0	0	0	1810	0	0	0	0	0	0	0	0	0	// Jewel of Soul
31	182	182	1	508	5	0	0	1820	0	0	0	0	0	0	0	0	0	1820	0	0	0	0	0	0	0	0	0	// Jewel of Life
31	183	183	1	508	10	0	0	1830	0	0	0	0	0	0	0	0	0	1830	0	0	0	0	0	0	0	0	0	// Jewel of Creation
31	184	184	1	508	15	0	0	1840	0	0	0	0	0	0	0	0	0	1840	0	0	0	0	0	0	0	0	0	// Jewel of Guardian
31	185	185	1	508	5	0	0	1850	0	0	0	0	0	0	0	0	0	1850	0	0	0	0	0	0	0	0	0	// Gemstone
31	186	186	1	508	15	0	0	1860	0	0	0	0	0	0	0	0	0	1860	0	0	0	0	0	0	0	0	0	// Jewel of Harmony
31	187	187	1	508	5	0	0	1870	0	0	0	0	0	0	0	0	0	1870	0	0	0	0	0	0	0	0	0	// Lower refining stone
31	188	188	1	508	15	0	0	1880	0	0	0	0	0	0	0	0	0	1880	0	0	0	0	0	0	0	0	0	// Higher refining stone
31	189	189	1	508	5	0	0	1890	0	0	0	0	0	0	0	0	0	1890	0	0	0	0	0	0	0	0	0	// Jewel of Chaos
31	247	247	1	508	100	0	0	2470	0	0	0	0	0	0	0	0	0	2470	0	0	0	0	0	0	0	0	0	// Coin of Miracle
32	112	112	1	508	500	0	0	1120	0	0	0	0	0	0	0	0	0	1120	0	0	0	0	0	0	0	0	0	// Seal of Ascension
32	113	113	1	508	500	0	0	1130	0	0	0	0	0	0	0	0	0	1130	0	0	0	0	0	0	0	0	0	// Seal of Wealth
32	114	114	1	508	500	0	0	1140	0	0	0	0	0	0	0	0	0	1140	0	0	0	0	0	0	0	0	0	// Seal of Sustenance
32	118	118	1	508	500	0	0	1180	0	0	0	0	0	0	0	0	0	1180	0	0	0	0	0	0	0	0	0	// Seal of Healing
32	119	119	1	508	500	0	0	1190	0	0	0	0	0	0	0	0	0	1190	0	0	0	0	0	0	0	0	0	// Seal of Divinity
32	122	122	1	508	100	0	0	1220	0	0	0	0	0	0	0	0	0	1220	0	0	0	0	0	0	0	0	0	// Talisman of Resurrection
32	123	123	1	508	100	0	0	1230	0	0	0	0	0	0	0	0	0	1230	0	0	0	0	0	0	0	0	0	// Talisman of Mobility
32	130	130	1	508	100	0	0	1300	0	0	0	0	0	0	0	0	0	1300	0	0	0	0	0	0	0	0	0	// Seal of Wealth
