02:45:33 [PMATCHING][DisConnectMember]LeaderName:IKBiv, ConnectMemberName:SumBiv
02:45:36 [PMATCHING][ConnectMember]LeaderName:IKBiv, ConnectMemberName:SumBiv
03:00:46 [PMATCHING][DisConnectMember]LeaderName:IKBiv, ConnectMemberName:IKBiv
03:00:49 [PMATCHING][ConnectMember]LeaderName:IKBiv, ConnectMemberName:IKBiv
03:11:16 [PMATCHING][DisConnectMember]LeaderName:IKBiv, ConnectMemberName:ElfBuff
03:11:20 [PMATCHING][ConnectMember]LeaderName:IKBiv, ConnectMemberName:ElfBuff
03:11:43 [PMATCHING][DisConnectMember]LeaderName:IKBiv, ConnectMemberName:IKBiv
03:11:47 [PMATCHING][ConnectMember]LeaderName:IKBiv, ConnectMemberName:IKBiv
03:12:49 [PMATCHING][DisConnectMember]LeaderName:IKBiv, ConnectMemberName:SumBiv
03:12:52 [PMATCHING][ConnectMember]LeaderName:IKBiv, ConnectMemberName:SumBiv
03:19:23 [PMATCHING][DisConnectMember]LeaderName:IKBiv, ConnectMemberName:SumBiv
03:19:26 [PMATCHING][ConnectMember]LeaderName:IKBiv, ConnectMemberName:SumBiv
03:20:04 [PMATCHING][DisConnectMember]LeaderName:IKBiv, ConnectMemberName:ElfBuff
03:20:08 [PMATCHING][ConnectMember]LeaderName:IKBiv, ConnectMemberName:ElfBuff
03:20:27 [PMATCHING][DisConnectMember]LeaderName:IKBiv, ConnectMemberName:IKBiv
03:20:44 [PMATCHING][ConnectMember]LeaderName:IKBiv, ConnectMemberName:IKBiv
04:08:41 [PMATCHING][DisConnectMember]LeaderName:IKBiv, ConnectMemberName:IKBiv
04:08:45 [PMATCHING][ConnectMember]LeaderName:IKBiv, ConnectMemberName:IKBiv
04:32:55 [PMATCHING][DisConnectMember]LeaderName:IKBiv, ConnectMemberName:IKBiv
04:32:58 [PMATCHING][ConnectMember]LeaderName:IKBiv, ConnectMemberName:IKBiv
15:06:30 [PMATCHING][DisConnectMember]LeaderName:IKBiv, ConnectMemberName:ElfBuff
15:06:32 [PMATCHING][ConnectMember]LeaderName:IKBiv, ConnectMemberName:ElfBuff
16:54:53 [PMATCHING][DisConnectMember]LeaderName:IKBiv, ConnectMemberName:ElfBuff
16:54:54 [PMATCHING][ConnectMember]LeaderName:IKBiv, ConnectMemberName:ElfBuff
20:50:33 [PMATCHING][DisConnectMember]LeaderName:IKBiv, ConnectMemberName:SumBiv
20:50:36 [PMATCHING][DisConnectMember]LeaderName:IKBiv, ConnectMemberName:ElfBuff
20:50:40 [PMATCHING][ConnectMember]LeaderName:IKBiv, ConnectMemberName:SumBiv
20:51:20 [PMATCHING][ConnectMember]LeaderName:IKBiv, ConnectMemberName:ElfBuff
21:28:38 [PMATCHING][DisConnectMember]LeaderName:IKBiv, ConnectMemberName:SumBiv
21:28:42 [PMATCHING][ConnectMember]LeaderName:IKBiv, ConnectMemberName:SumBiv
21:47:16 [PMATCHING][DisConnectMember]LeaderName:IKBiv, ConnectMemberName:IKBiv
21:56:01 [PMATCHING][ConnectMember]LeaderName:IKBiv, ConnectMemberName:IKBiv
22:31:34 [PMATCHING][DisConnectMember]LeaderName:IKBiv, ConnectMemberName:SumBiv
23:02:03 [PMATCHING][ChangeLeader]Leader: IKBiv -> ElfBuff
23:05:08 [PMATCHING][ConnectMember]LeaderName:ElfBuff, ConnectMemberName:SumBiv
23:08:11 [PMATCHING][DisConnectMember]LeaderName:ElfBuff, ConnectMemberName:ElfBuff
23:08:11 [PMATCHING][ConnectMember]LeaderName:ElfBuff, ConnectMemberName:ElfBuff
23:08:31 [PMATCHING][DisConnectMember]LeaderName:ElfBuff, ConnectMemberName:ElfBuff
23:08:32 [PMATCHING][ConnectMember]LeaderName:ElfBuff, ConnectMemberName:ElfBuff
23:09:17 [PMATCHING][DisConnectMember]LeaderName:ElfBuff, ConnectMemberName:ElfBuff
23:09:18 [PMATCHING][ConnectMember]LeaderName:ElfBuff, ConnectMemberName:ElfBuff
