20:49:07 [PersonalStoreRenewalAnsBuyItemRequest][kudoshjn][IKBiv][0][0][SellType:0] Init - (Account: test, Name: ElfBuff, Value: 1, JoBValue: 0, JoSValue: 0, Index: 3618)[:22:4:57:0:0:3F:9A:6:0:70:0:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF]
20:49:07 [PersonalStoreRenewalAnsBuyItemRequest][kudoshjn][IKBiv][0][1][SellType:0] Init - (Account: test, Name: ElfBuff, Value: 1, JoBValue: 0, JoSValue: 0, Index: 3102)[:1E:4:43:0:0:3C:9E:3:0:60:0:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF]
20:49:07 [PersonalStoreRenewalAnsBuyItemRequest][kudoshjn][IKBiv][0][2][SellType:0] Init - (Account: test, Name: ElfBuff, Value: 1, JoBValue: 0, JoSValue: 0, Index: 4651)[:2B:4:5A:0:0:F1:8E:2A:0:90:0:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF]
20:49:07 [PersonalStoreRenewalAnsBuyItemRequest][kudoshjn][IKBiv][0][3][SellType:0] Init - (Account: test, Name: ElfBuff, Value: 1, JoBValue: 0, JoSValue: 0, Index: 5663)[:1F:4:65:0:0:D6:8D:1A:0:B0:0:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF]
20:49:07 [PersonalStoreRenewalAnsBuyItemRequest][kudoshjn][IKBiv][0][4][SellType:0] Init - (Account: test, Name: ElfBuff, Value: 1, JoBValue: 0, JoSValue: 0, Index: 5663)[:1F:4:65:0:0:E1:D2:1E:0:B0:0:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF]
20:49:07 [PersonalStoreRenewalAnsBuyItemRequest][kudoshjn][IKBiv][0][0][SellType:0] Success Insert - (Account: test, Name: ElfBuff, Value: 1, JoBValue: 0, JoSValue: 0, Index: 3618)[:22:4:57:0:0:3F:9A:6:0:70:0:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF]
20:49:07 [PersonalStoreRenewalAnsBuyItemRequest][kudoshjn][IKBiv][0][1][SellType:0] Success Insert - (Account: test, Name: ElfBuff, Value: 1, JoBValue: 0, JoSValue: 0, Index: 3102)[:1E:4:43:0:0:3C:9E:3:0:60:0:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF]
20:49:07 [PersonalStoreRenewalAnsBuyItemRequest][kudoshjn][IKBiv][0][2][SellType:0] Success Insert - (Account: test, Name: ElfBuff, Value: 1, JoBValue: 0, JoSValue: 0, Index: 4651)[:2B:4:5A:0:0:F1:8E:2A:0:90:0:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF]
20:49:07 [PersonalStoreRenewalAnsBuyItemRequest][kudoshjn][IKBiv][0][3][SellType:0] Success Insert - (Account: test, Name: ElfBuff, Value: 1, JoBValue: 0, JoSValue: 0, Index: 5663)[:1F:4:65:0:0:D6:8D:1A:0:B0:0:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF]
20:49:07 [PersonalStoreRenewalAnsBuyItemRequest][kudoshjn][IKBiv][0][4][SellType:0] Success Insert - (Account: test, Name: ElfBuff, Value: 1, JoBValue: 0, JoSValue: 0, Index: 5663)[:1F:4:65:0:0:E1:D2:1E:0:B0:0:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF]
20:49:15 [PersonalStoreRenewalAnsBuyItemRequest][kudoshjn][IKBiv][1][0][SellType:0] Init - (Account: test, Name: ElfBuff, Value: 1, JoBValue: 0, JoSValue: 0, Index: 4131)[:23:4:45:0:0:3C:75:4:0:80:0:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF]
