18:45:05 [PersonalStoreRenewalAnsBuyItemRequest][test1][SumBiv][2][0][SellType:0] Init - (Account: test, Name: ElfBuff, Value: 1, JoBValue: 0, JoSValue: 0, Index: 7181)[:D:0:32:0:1:FF:9D:0:0:E0:0:FF:FF:FF:FF:FF:FF:FF:FF:0:0:0:0:0:0]
18:45:05 [PersonalStoreRenewalAnsBuyItemRequest][test1][SumBiv][2][1][SellType:0] Init - (Account: test, Name: ElfBuff, Value: 1, JoBValue: 0, JoSValue: 0, Index: 7181)[:D:0:2D:0:1:FF:99:0:0:E0:0:FF:FF:FF:FF:FF:FF:FF:FF:0:0:0:0:0:0]
18:45:05 [PersonalStoreRenewalAnsBuyItemRequest][test1][SumBiv][2][2][SellType:0] Init - (Account: test, Name: ElfBuff, Value: 1, JoBValue: 0, JoSValue: 0, Index: 7182)[:E:0:32:0:1:FF:97:0:0:E0:0:FF:FF:FF:FF:FF:FF:FF:FF:0:0:0:0:0:0]
18:45:05 [PersonalStoreRenewalAnsBuyItemRequest][test1][SumBiv][2][3][SellType:0] Init - (Account: test, Name: ElfBuff, Value: 1, JoBValue: 0, JoSValue: 0, Index: 7182)[:E:0:32:0:1:FF:96:0:0:E0:0:FF:FF:FF:FF:FF:FF:FF:FF:0:0:0:0:0:0]
18:45:05 [PersonalStoreRenewalAnsBuyItemRequest][test1][SumBiv][2][4][SellType:0] Init - (Account: test, Name: ElfBuff, Value: 1, JoBValue: 0, JoSValue: 0, Index: 7182)[:E:0:32:0:1:FF:9A:0:0:E0:0:FF:FF:FF:FF:FF:FF:FF:FF:0:0:0:0:0:0]
18:45:05 [PersonalStoreRenewalAnsBuyItemRequest][test1][SumBiv][2][0][SellType:0] Success Insert - (Account: test, Name: ElfBuff, Value: 1, JoBValue: 0, JoSValue: 0, Index: 7181)[:D:0:32:0:1:FF:9D:0:0:E0:0:FF:FF:FF:FF:FF:FF:FF:FF:0:0:0:0:0:0]
18:45:05 [PersonalStoreRenewalAnsBuyItemRequest][test1][SumBiv][2][1][SellType:0] Success Insert - (Account: test, Name: ElfBuff, Value: 1, JoBValue: 0, JoSValue: 0, Index: 7181)[:D:0:2D:0:1:FF:99:0:0:E0:0:FF:FF:FF:FF:FF:FF:FF:FF:0:0:0:0:0:0]
18:45:05 [PersonalStoreRenewalAnsBuyItemRequest][test1][SumBiv][2][2][SellType:0] Success Insert - (Account: test, Name: ElfBuff, Value: 1, JoBValue: 0, JoSValue: 0, Index: 7182)[:E:0:32:0:1:FF:97:0:0:E0:0:FF:FF:FF:FF:FF:FF:FF:FF:0:0:0:0:0:0]
18:45:05 [PersonalStoreRenewalAnsBuyItemRequest][test1][SumBiv][2][3][SellType:0] Success Insert - (Account: test, Name: ElfBuff, Value: 1, JoBValue: 0, JoSValue: 0, Index: 7182)[:E:0:32:0:1:FF:96:0:0:E0:0:FF:FF:FF:FF:FF:FF:FF:FF:0:0:0:0:0:0]
18:45:05 [PersonalStoreRenewalAnsBuyItemRequest][test1][SumBiv][2][4][SellType:0] Success Insert - (Account: test, Name: ElfBuff, Value: 1, JoBValue: 0, JoSValue: 0, Index: 7182)[:E:0:32:0:1:FF:9A:0:0:E0:0:FF:FF:FF:FF:FF:FF:FF:FF:0:0:0:0:0:0]
18:45:08 [PersonalStoreRenewalAnsBuyItemRequest][test1][SumBiv][1][0][SellType:0] Init - (Account: test, Name: ElfBuff, Value: 1, JoBValue: 0, JoSValue: 0, Index: 6668)[:C:0:46:0:1:C3:81:0:9:D0:0:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF]
