14:14:28 [PersonalStoreRenewalAnsBuyItemRequest][test][ElfBuff][5][0][SellType:0] Init - (Account: kudoshjn, Name: IKBiv, Value: 1, JoBValue: 0, JoSValue: 0, Index: 4099)[:3:5C:53:0:1:90:2F:40:9:80:0:FF:FF:FF:FF:FF:FF:FF:FF:0:0:0:0:0:0]
14:14:28 [PersonalStoreRenewalAnsBuyItemRequest][test][ElfBuff][5][1][SellType:0] Init - (Account: kudoshjn, Name: IKBiv, Value: 1, JoBValue: 0, JoSValue: 0, Index: 4622)[:E:4C:4F:0:2:25:9:0:A:90:0:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF]
14:14:28 [PersonalStoreRenewalAnsBuyItemRequest][test][ElfBuff][5][2][SellType:0] Init - (Account: kudoshjn, Name: IKBiv, Value: 1, JoBValue: 0, JoSValue: 0, Index: 4099)[:3:5C:53:0:2:25:4E:40:A:80:0:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF]
14:14:28 [PersonalStoreRenewalAnsBuyItemRequest][test][ElfBuff][5][3][SellType:0] Init - (Account: kudoshjn, Name: IKBiv, Value: 1, JoBValue: 0, JoSValue: 0, Index: 4846)[:EE:C:58:0:2:4E:4B:0:A:90:0:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF]
14:14:28 [PersonalStoreRenewalAnsBuyItemRequest][test][ElfBuff][5][4][SellType:0] Init - (Account: kudoshjn, Name: IKBiv, Value: 1, JoBValue: 0, JoSValue: 0, Index: 4399)[:2F:5C:6E:0:2:25:7A:C0:9:80:0:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF]
14:14:28 [PersonalStoreRenewalAnsBuyItemRequest][test][ElfBuff][5][0][SellType:0] Success Insert - (Account: kudoshjn, Name: IKBiv, Value: 1, JoBValue: 0, JoSValue: 0, Index: 4099)[:3:5C:53:0:1:90:2F:40:9:80:0:FF:FF:FF:FF:FF:FF:FF:FF:0:0:0:0:0:0]
14:14:28 [PersonalStoreRenewalAnsBuyItemRequest][test][ElfBuff][5][1][SellType:0] Success Insert - (Account: kudoshjn, Name: IKBiv, Value: 1, JoBValue: 0, JoSValue: 0, Index: 4622)[:E:4C:4F:0:2:25:9:0:A:90:0:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF]
14:14:28 [PersonalStoreRenewalAnsBuyItemRequest][test][ElfBuff][5][2][SellType:0] Success Insert - (Account: kudoshjn, Name: IKBiv, Value: 1, JoBValue: 0, JoSValue: 0, Index: 4099)[:3:5C:53:0:2:25:4E:40:A:80:0:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF]
14:14:28 [PersonalStoreRenewalAnsBuyItemRequest][test][ElfBuff][5][3][SellType:0] Success Insert - (Account: kudoshjn, Name: IKBiv, Value: 1, JoBValue: 0, JoSValue: 0, Index: 4846)[:EE:C:58:0:2:4E:4B:0:A:90:0:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF]
14:14:28 [PersonalStoreRenewalAnsBuyItemRequest][test][ElfBuff][5][4][SellType:0] Success Insert - (Account: kudoshjn, Name: IKBiv, Value: 1, JoBValue: 0, JoSValue: 0, Index: 4399)[:2F:5C:6E:0:2:25:7A:C0:9:80:0:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF]
14:14:34 [PersonalStoreRenewalAnsBuyItemRequest][test][ElfBuff][4][0][SellType:0] Init - (Account: kudoshjn, Name: IKBiv, Value: 1, JoBValue: 0, JoSValue: 0, Index: 4215)[:77:5C:6C:0:2:22:50:40:9:80:0:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF]
14:14:34 [PersonalStoreRenewalAnsBuyItemRequest][test][ElfBuff][4][1][SellType:0] Init - (Account: kudoshjn, Name: IKBiv, Value: 1, JoBValue: 0, JoSValue: 0, Index: 4727)[:77:58:6C:0:2:1F:53:40:9:90:0:FF:FF:FF:FF:FF:FF:FF:FF:0:0:0:0:0:0]
14:14:34 [PersonalStoreRenewalAnsBuyItemRequest][test][ElfBuff][4][2][SellType:0] Init - (Account: kudoshjn, Name: IKBiv, Value: 1, JoBValue: 0, JoSValue: 0, Index: 4111)[:F:5C:79:0:2:22:58:40:9:80:0:FF:FF:FF:FF:FF:FF:FF:FF:0:0:0:0:0:0]
14:14:34 [PersonalStoreRenewalAnsBuyItemRequest][test][ElfBuff][4][3][SellType:0] Init - (Account: kudoshjn, Name: IKBiv, Value: 1, JoBValue: 0, JoSValue: 0, Index: 5239)[:77:5C:6C:0:2:24:4B:40:9:A0:0:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF]
14:14:34 [PersonalStoreRenewalAnsBuyItemRequest][test][ElfBuff][4][4][SellType:0] Init - (Account: kudoshjn, Name: IKBiv, Value: 1, JoBValue: 0, JoSValue: 0, Index: 4399)[:2F:58:6E:0:2:34:F0:C0:9:80:0:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF]
14:14:34 [PersonalStoreRenewalAnsBuyItemRequest][test][ElfBuff][4][0][SellType:0] Success Insert - (Account: kudoshjn, Name: IKBiv, Value: 1, JoBValue: 0, JoSValue: 0, Index: 4215)[:77:5C:6C:0:2:22:50:40:9:80:0:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF:FF]
