00:29:22 [MasteryItemMix][Success][loukoala1][TEST] - (ChaosSuccessRate: 100, ChaosMoney: 0)
00:30:43 [MasteryItemMix][Success][loukoala1][TEST] - (ChaosSuccessRate: 100, ChaosMoney: 0)
00:39:38 [MasteryItemMix][Success][loukoala1][TEST] - (ChaosSuccessRate: 100, ChaosMoney: 0)
00:43:01 [PlusItemLevelMix][Success][loukoala1][TEST] - (Type: 0, ChaosSuccessRate: 80, ChaosMoney: 2000000)
00:43:03 [PlusItemLevelMix][Success][loukoala1][TEST] - (Type: 1, ChaosSuccessRate: 80, ChaosMoney: 4000000)
00:43:05 [PlusItemLevelMix][Success][loukoala1][TEST] - (Type: 2, ChaosSuccessRate: 70, ChaosMoney: 6000000)
00:43:07 [PlusItemLevelMix][Success][loukoala1][TEST] - (Type: 3, ChaosSuccessRate: 70, ChaosMoney: 8000000)
00:43:09 [PlusItemLevelMix][Success][loukoala1][TEST] - (Type: 4, ChaosSuccessRate: 60, ChaosMoney: 10000000)
00:43:10 [PlusItemLevelMix][Success][loukoala1][TEST] - (Type: 5, ChaosSuccessRate: 60, ChaosMoney: 12000000)
15:01:19 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 0, ChaosSuccessRate: 100, ChaosMoney: 2000000)
15:01:59 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 0, ChaosSuccessRate: 100, ChaosMoney: 2000000)
15:02:00 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 1, ChaosSuccessRate: 100, ChaosMoney: 4000000)
15:02:04 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 2, ChaosSuccessRate: 100, ChaosMoney: 6000000)
15:02:05 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 3, ChaosSuccessRate: 100, ChaosMoney: 8000000)
15:02:06 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 4, ChaosSuccessRate: 90, ChaosMoney: 10000000)
15:02:07 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 5, ChaosSuccessRate: 90, ChaosMoney: 12000000)
15:02:15 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 1, ChaosSuccessRate: 100, ChaosMoney: 4000000)
15:02:16 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 2, ChaosSuccessRate: 100, ChaosMoney: 6000000)
15:02:17 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 3, ChaosSuccessRate: 100, ChaosMoney: 8000000)
15:02:18 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 4, ChaosSuccessRate: 90, ChaosMoney: 10000000)
15:02:19 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 5, ChaosSuccessRate: 90, ChaosMoney: 12000000)
15:02:21 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 0, ChaosSuccessRate: 100, ChaosMoney: 2000000)
