13:22:45 [EventWingMix][Success][test][ElfBuff] - (ChaosSuccessRate: 100, ChaosMoney: 1000000)
13:22:46 [EventWingMix][Success][test][ElfBuff] - (ChaosSuccessRate: 100, ChaosMoney: 1000000)
13:36:57 [PetMix][Success][test][ElfBuff] - (Type: 6615, ChaosSuccessRate: 1000000, ChaosMoney: 1000000)
13:36:59 [PetMix][Success][test][ElfBuff] - (Type: 6615, ChaosSuccessRate: 1000000, ChaosMoney: 1000000)
13:37:01 [PetMix][Success][test][ElfBuff] - (Type: 6615, ChaosSuccessRate: 1000000, ChaosMoney: 1000000)
13:37:03 [PetMix][Success][test][ElfBuff] - (Type: 6615, ChaosSuccessRate: 1000000, ChaosMoney: 1000000)
13:37:15 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1350000, NewLevel:7)
13:37:16 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1200000, NewLevel:6)
13:37:17 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1050000, NewLevel:7)
13:37:18 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1200000, NewLevel:8)
13:37:18 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1350000, NewLevel:7)
13:37:19 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1200000, NewLevel:8)
13:37:20 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1350000, NewLevel:7)
13:37:21 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1200000, NewLevel:6)
