20:15:14 [Wing3Mix][Failure][kudoshjn][IKBiv] - (ChaosSuccessRate: 40, ChaosMoney: 15000000)
20:15:20 [Wing3Mix][Failure][kudoshjn][IKBiv] - (ChaosSuccessRate: 40, ChaosMoney: 15000000)
20:16:10 [ElementalItemRefinemenJewelMix][Success][kudoshjn][IKBiv] - (ElementalItemRefinemenSuccessRate: 65, ElementalItemRefinemenMoney: 100000)
20:16:12 [ElementalItemRefinemenJewelMix][Failure][kudoshjn][IKBiv] - (ElementalItemRefinemenSuccessRate: 65, ElementalItemRefinemenMoney: 100000)
20:16:16 [ElementalItemRefinemenJewelMix][Success][kudoshjn][IKBiv] - (ElementalItemRefinemenSuccessRate: 65, ElementalItemRefinemenMoney: 100000)
20:16:21 [ElementalItemRefinemenJewelMix][Failure][kudoshjn][IKBiv] - (ElementalItemRefinemenSuccessRate: 65, ElementalItemRefinemenMoney: 100000)
20:16:25 [ElementalItemRefinemenJewelMix][Failure][kudoshjn][IKBiv] - (ElementalItemRefinemenSuccessRate: 65, ElementalItemRefinemenMoney: 100000)
20:21:47 [CGSocketSystemCombinationRemoveSeedSphearRecv][Success][test1][SumBiv] - (MixRate: 100, MixMoney: 100000000)
20:25:30 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:25:33 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:25:35 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:25:36 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:25:38 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:25:41 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:25:45 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:25:46 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 45, MixMoney: 4500000)
20:25:48 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:25:52 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:25:54 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:25:56 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 45, MixMoney: 4500000)
20:25:58 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 45, MixMoney: 5000000)
20:26:01 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 30, MixMoney: 5500000)
20:26:13 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:26:15 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:26:16 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 65, MixMoney: 1000000)
20:26:17 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 65, MixMoney: 1000000)
20:26:19 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1000000)
20:26:21 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:26:23 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:26:24 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:26:26 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:26:28 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:26:32 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 65, MixMoney: 1000000)
20:26:35 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1000000)
20:28:11 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:28:15 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:28:18 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:28:21 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:28:23 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:28:25 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:28:28 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:28:31 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:28:34 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:28:37 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:28:41 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:28:44 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:28:47 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:28:51 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:28:55 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:28:58 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:29:01 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:29:04 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:29:07 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:29:08 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:29:09 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 45, MixMoney: 4500000)
20:29:11 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:29:12 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 45, MixMoney: 4500000)
20:29:14 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:29:16 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:29:17 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:29:20 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:29:21 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:29:23 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:29:39 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:29:42 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:29:46 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:29:47 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:29:48 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:29:50 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:29:52 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:29:54 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:29:56 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:29:57 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:29:59 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:30:00 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 45, MixMoney: 4500000)
20:30:02 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:30:04 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 45, MixMoney: 4500000)
20:30:05 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 45, MixMoney: 5000000)
20:30:07 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 45, MixMoney: 4500000)
20:30:09 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 45, MixMoney: 5000000)
20:30:11 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 45, MixMoney: 4500000)
20:30:12 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:30:13 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:30:15 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:30:17 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:30:19 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:30:20 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 45, MixMoney: 4500000)
20:30:22 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 45, MixMoney: 5000000)
20:30:24 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 30, MixMoney: 5500000)
20:30:26 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 45, MixMoney: 5000000)
20:30:28 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 45, MixMoney: 4500000)
20:30:29 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:30:30 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 45, MixMoney: 4500000)
20:30:32 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:30:33 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:30:35 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:34:34 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:34:36 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:34:37 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:34:39 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:34:41 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:34:42 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:34:44 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:34:45 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:34:47 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:34:48 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:34:52 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:34:53 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:34:56 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:34:57 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:34:59 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:35:00 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:35:02 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:35:03 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:35:05 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
