19:44:15 [CommandAddPoint][2222][LouLx8] - (Type: 0, Amount: 500)
19:44:17 [CommandAddPoint][2222][LouLx8] - (Type: 1, Amount: 500)
19:45:08 [CommandChange][2222][LouLx8] - (ChangeUp: 0)
19:45:12 [CommandChange][2222][LouLx8] - (ChangeUp: 1)
19:45:17 [CommandChange][2222][LouLx8] - (ChangeUp: 2)
20:01:49 [CommandMake][1111][LouLx1] - (Section: 13, Type: 222, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
20:02:35 [CommandMake][1111][LouLx1] - (Section: 13, Type: 210, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
20:03:06 [CommandMake][1111][LouLx1] - (Section: 13, Type: 350, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
20:03:32 [CommandMake][1111][LouLx1] - (Section: 12, Type: 481, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
21:20:29 [CommandMake][1111][LouLx1] - (Section: 13, Type: 10, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
21:20:42 [CommandMake][1111][LouLx1] - (Section: 13, Type: 39, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
21:21:10 [CommandMake][1111][LouLx1] - (Section: 13, Type: 40, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
21:21:12 [CommandMake][1111][LouLx1] - (Section: 13, Type: 41, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
21:21:38 [CommandMake][1111][LouLx1] - (Section: 13, Type: 122, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
21:21:49 [CommandMake][1111][LouLx1] - (Section: 13, Type: 16, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
21:21:53 [CommandMake][1111][LouLx1] - (Section: 13, Type: 166, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
21:23:28 [CommandMake][1111][LouLx1] - (Section: 13, Type: 165, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
21:24:12 [CommandMake][1111][LouLx1] - (Section: 13, Type: 169, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
21:24:31 [CommandMake][1111][LouLx1] - (Section: 13, Type: 170, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
21:24:38 [CommandMake][1111][LouLx1] - (Section: 13, Type: 173, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
21:24:58 [CommandMake][1111][LouLx1] - (Section: 13, Type: 175, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
21:25:17 [CommandMake][1111][LouLx1] - (Section: 13, Type: 268, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
21:29:14 [CommandMake][1111][LouLx1] - (Section: 13, Type: 471, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
21:39:42 [CommandMake][1111][LouLx1] - (Section: 13, Type: 471, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
21:39:48 [CommandMake][1111][LouLx1] - (Section: 12, Type: 471, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
21:40:20 [CommandMake][1111][LouLx1] - (Section: 14, Type: 471, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
21:40:36 [CommandMake][1111][LouLx1] - (Section: 14, Type: 421, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
21:40:54 [CommandMake][1111][LouLx1] - (Section: 14, Type: 421, Level: 10, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
21:41:06 [CommandMake][1111][LouLx1] - (Section: 14, Type: 421, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
21:41:10 [CommandMake][1111][LouLx1] - (Section: 14, Type: 421, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
21:41:13 [CommandMake][1111][LouLx1] - (Section: 14, Type: 421, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
21:41:17 [CommandMake][1111][LouLx1] - (Section: 14, Type: 421, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
21:42:06 [CommandMake][1111][LouLx1] - (Section: 14, Type: 429, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
