01:17:17 [ExchangeTradeItem][kudoshjn][IKBiv] - (Account: test, Name: ElfBuff, Index: 4622, Level: 00, Serial: 000029EA, Option1: 0, Option2: 0, Option3: 0, NewOption: 024, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
02:05:18 [ExchangeTradeItem][test1][SumBiv] - (Account: test, Name: ElfBuff, Index: 3088, Level: 00, Serial: 000038EC, Option1: 0, Option2: 0, Option3: 0, NewOption: 044, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
02:05:18 [ExchangeTradeItem][test1][SumBiv] - (Account: test, Name: ElfBuff, Index: 3620, Level: 00, Serial: 000039E8, Option1: 0, Option2: 0, Option3: 0, NewOption: 029, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
02:05:18 [ExchangeTradeItem][test][ElfBuff] - (Account: test1, Name: SumBiv, Index: 2583, Level: 00, Serial: 000036E7, Option1: 0, Option2: 1, Option3: 0, NewOption: 048, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
02:05:18 [ExchangeTradeItem][test][ElfBuff] - (Account: test1, Name: SumBiv, Index: 5673, Level: 00, Serial: 0000390C, Option1: 0, Option2: 1, Option3: 0, NewOption: 032, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
02:31:01 [ExchangeTradeItem][kudoshjn][IKBiv] - (Account: test1, Name: SumBiv, Index: 4137, Level: 00, Serial: 00003741, Option1: 0, Option2: 1, Option3: 0, NewOption: 004, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
02:53:30 [ExchangeTradeItem][kudoshjn][IKBiv] - (Account: test, Name: ElfBuff, Index: 2062, Level: 00, Serial: 00003CD6, Option1: 1, Option2: 0, Option3: 0, NewOption: 020, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
02:53:30 [ExchangeTradeItem][kudoshjn][IKBiv] - (Account: test, Name: ElfBuff, Index: 5156, Level: 00, Serial: 00003F71, Option1: 0, Option2: 1, Option3: 0, NewOption: 002, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
02:57:53 [ExchangeTradeItem][kudoshjn][IKBiv] - (Account: test1, Name: SumBiv, Index: 2576, Level: 00, Serial: 00003F3C, Option1: 0, Option2: 1, Option3: 0, NewOption: 004, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
02:57:53 [ExchangeTradeItem][kudoshjn][IKBiv] - (Account: test1, Name: SumBiv, Index: 2582, Level: 00, Serial: 00003F34, Option1: 0, Option2: 1, Option3: 0, NewOption: 001, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
02:57:53 [ExchangeTradeItem][kudoshjn][IKBiv] - (Account: test1, Name: SumBiv, Index: 5161, Level: 00, Serial: 00003F7A, Option1: 0, Option2: 0, Option3: 0, NewOption: 009, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
