22:33:55 [ExchangeTradeItem][test1][SumBiv] - (Account: test, Name: ElfBuff, Index: 7635, Level: 00, Serial: 00027C90, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
22:33:55 [ExchangeTradeItem][test1][SumBiv] - (Account: test, Name: ElfBuff, Index: 6289, Level: 00, Serial: 00027B94, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
22:33:55 [ExchangeTradeItem][test1][SumBiv] - (Account: test, Name: ElfBuff, Index: 6289, Level: 00, Serial: 0002791B, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
22:33:55 [ExchangeTradeItem][test1][SumBiv] - (Account: test, Name: ElfBuff, Index: 6289, Level: 00, Serial: 00026BD7, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
22:33:55 [ExchangeTradeItem][test1][SumBiv] - (Account: test, Name: ElfBuff, Index: 6288, Level: 00, Serial: 0002734E, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
22:33:55 [ExchangeTradeItem][test1][SumBiv] - (Account: test, Name: ElfBuff, Index: 6288, Level: 00, Serial: 00027C1D, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
22:33:55 [ExchangeTradeItem][test1][SumBiv] - (Account: test, Name: ElfBuff, Index: 6289, Level: 00, Serial: 00027052, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
22:33:55 [ExchangeTradeItem][test1][SumBiv] - (Account: test, Name: ElfBuff, Index: 6289, Level: 00, Serial: 00027209, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
22:33:55 [ExchangeTradeItem][test1][SumBiv] - (Account: test, Name: ElfBuff, Index: 6288, Level: 00, Serial: 00027115, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
22:33:55 [ExchangeTradeItem][test1][SumBiv] - (Account: test, Name: ElfBuff, Index: 6288, Level: 00, Serial: 0002770B, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
22:33:55 [ExchangeTradeItem][test1][SumBiv] - (Account: test, Name: ElfBuff, Index: 6289, Level: 00, Serial: 0002599B, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
